NomSite,Sigle,Superficie,Vegetation,NbreDate,Date d'echantillonnage,Prof1,Prof2,Latitude,Longitude,Diagramme complet,Charbons et PAF
Timmins (87-TIM-03),87TIM03,,PN,0,,0,0,482900,812200,c,
Timmins (87-TIM-05),87TIM05,,PN,0,,0,0,482900,812200,c,
Timmins (87-TIM-08),87TIM08,,PN,0,,0,0,482900,812200,c,
Tortue (lac ˆ la),TOR,2.5,ET,4,07-06-1979,390,400,453245,731901,c,
Tourbière-aux-Orignaux (Forillon),FOR,0.2,SBb,2,,520,530,485107,641930,c,
Tourelle (lac de la),TOUR2,8,SBb,1,15-02-1986,246,253,473220,701750,p,
Track Lake,TRACK,,PC,7,,317,322,554600,651000,c,
Triangle (Lac),TRIANGLE,1.5,SEpN,6,29-03-1994,,,484237.49,652444.01,c,chb
Tunturi Lake,TUNTU,400,PC,2,,130,137,550100,673000,c,
Turcotte (lac) ,TUR,10,SBb,4,13-06-1979,335,345,490923.27,654539.56,c,c
Twin Falls,TWINF,,PC,0,,0,0,533000,643100,c,
Twin (Lac),TWIN,4.9,SBb,0,25-06-1996,,,484705,645330,,
Twin (Lac),TWINS,4.9,SBb,0,25-06-1996,,,484705,645330,,
Ublik Pond,UBLIK,,TF/Ta/k,5,,183,188,572300,620300,c,
Unknown Pond,UNKNOWN,5.8,EBj-SBj,4,,695,700,453600,703800,c,
Upper Wallface Pond,WALLFACE,5.5,SBj,0,,,,440847,740315,c,
Val St-Gilles,STGIL,,PN,1,,,,490100,790500,p,
Valin (mont)  -1,VAL1,0.2,SBb,4,,380,388,483543.85,705002.22,c,c
Valin (mont)  -2,VAL2,0.3,SBb,1,,175,185,483650,705009,c,
Vallon des Pins  (Ferme Picard),PIC1,3.1,ET,6,10-07-1987,295,300,451620,723637,c,
Vicenza,VICENZA,5,T,1,01-08-1990,,,724435,613309,i,
Victor (Lac),SAV3,1.2,EBj,1,,666,676,455208,740903,i,
Vieux Port Burwell (a),VPBA,,T,1,,0,29,602453,644919,c,
Vieux Port Burwell (b),VPBB,,T,3,,0,62,602453,644919,c,
Vieux Port Burwell (c),VPBC,,T,1,,0,24,602453,644919,c,
Wapizagonke,MAU3,0.5,EBj,2,10-06-1974,,,464333,730151,c,
Waterloo (lac),WAT,1.4,ET,0,,0,0,451958,723000,c,
Weedon,WEEDON,157,EBj,0,28-07-1969,0,0,454131,712544,c,
Whitney's Gulch,WHITNEYS,5.5,TF,6,,345,355,513100,571800,c,
Yamaska,YAM,2,ET/EC,7,,505,515,452718.78,725225.09,c,c
Yelle (lac),YELLE,3.2,SBb,3,,375,385,483025.54,793814.57,c,c
Zed,Zed,25,EBj,1,10-06-1980,152,162,480758,652031,i,
