Var_,VarCode,VarName
2753,Ce/Re,Centrolepidaceae/Restionaceae
1191,Cex,Centropyxis
2187,Cex.a,Centropyxis aculeata
2189,Cex.e,Centropyxis aerophyla
2188,Cex.d,Centropyxis discoides
50,Cep,Cephalanthus
593,Cep.o,Cephalanthus occidentalis
1530,Crs,Cerastium
2451,Crs.a,Cerastium afromontanum
2452,Crs.o,Cerastium octandrum
999,Crs-t,Cerastium-type
51,Crt.e,Ceratiola ericoides
1100,Crt.e-t,Ceratiola ericoides-type
3710,Cpm,Ceratophyllum
894,Cerat.sp,Ceratophyllum spine
1583,Cci,Cercidium
3479,Ccs,Cercis
1103,Crc,Cercocarpus
2951,Ce/Co,Cercocarpus/Cowania
984,Crc-t,Cercocarpus-type
416,Cer,Cerealia
427,Cer.ud,Cerealia undiff.
1947,Cer-t,Cerealia-type
2941,Cer-t.ud,Cerealia-type undiff.
1982,Ces,Cestrum
2180,cf.Adi,cf. Adiantum
1115,cf.Agv,cf. Agave
1118,cf.Amo,cf. Amorpha
2606,cf.Ant,cf. Anthoceros
3159,cf.Aql,cf. Aquilegia
2592,cf.Arb.g,cf. Arabis glabra
1911,cf.Arcae,cf. Araceae
1185,cf.Art,cf. Artemisia
2802,cf.Asi,cf. Asimina
2585,cf.Asp,cf. Asplenium
2705,cf.Asl,cf. Astelia
1140,cf.Bet,cf. Betula
3302,cf.Ble,cf. Blechnum
578,cf.Boc,cf. Boconnia
1559,cf.Bot,cf. Botrychium
2616,cf.Brs.s,cf. Brasenia schreberi
1120,cf.Braae,cf. Brassicaceae
1895,cf.Bud,cf. Buddleja
1088,cf.Cal,cf. Caltha
3665,cf.Cam,cf. Campanula
3301,cf.Cth,cf. Canthium
1271,cf.Cja,cf. Castilleja
899,cf.Cea,cf. Ceanothus
987,cf.Cea.v,cf. Ceanothus velutinus
2631,cf.Cel,cf. Celtis
2218,cf.Cep,cf. Cephalanthus
1495,cf.Crc,cf. Cercocarpus
3638,cf.Cisae,cf. Cistaceae
2184,cf.Cle,cf. Clethra
2967,cf.Col,cf. Collinsia
1945,cf.Cupae,cf. Cupressaceae
1948,cf.Cys,cf. Cystopteris
1497,cf.Dal,cf. Dalea
2573,cf.Dec.v,cf. Decodon verticillatus
606,cf.Dia.l,cf. Diapensia lapponica
